SUBZONE_N,ServiceNo
CHINATOWN,51
CHINATOWN,145
CHINATOWN,80
CHINATOWN,166
CHINATOWN,197
CHINATOWN,61
CHINATOWN,167
CHINATOWN,196
CHINATOWN,534
CHINATOWN,535
CHINATOWN,549
CHINATOWN,561
CHINATOWN,564
CHINATOWN,565
CHINATOWN,569
CHINATOWN,75
CHINATOWN,761
PHILLIP,186
PHILLIP,530
PHILLIP,588
PHILLIP,599
PHILLIP,970
RAFFLES PLACE,10
RAFFLES PLACE,100
RAFFLES PLACE,107
RAFFLES PLACE,10e
RAFFLES PLACE,128
RAFFLES PLACE,130
RAFFLES PLACE,133
RAFFLES PLACE,162
RAFFLES PLACE,196
RAFFLES PLACE,196e
RAFFLES PLACE,513
RAFFLES PLACE,538
RAFFLES PLACE,539
RAFFLES PLACE,544
RAFFLES PLACE,545
RAFFLES PLACE,552
RAFFLES PLACE,553
RAFFLES PLACE,554
RAFFLES PLACE,585
RAFFLES PLACE,589
RAFFLES PLACE,70
RAFFLES PLACE,75
RAFFLES PLACE,850E
RAFFLES PLACE,868
RAFFLES PLACE,951E
RAFFLES PLACE,131
RAFFLES PLACE,167
RAFFLES PLACE,400
RAFFLES PLACE,402
RAFFLES PLACE,533
RAFFLES PLACE,534
RAFFLES PLACE,535
RAFFLES PLACE,536
RAFFLES PLACE,549
RAFFLES PLACE,555
RAFFLES PLACE,560
RAFFLES PLACE,561
RAFFLES PLACE,563
RAFFLES PLACE,564
RAFFLES PLACE,565
RAFFLES PLACE,569
RAFFLES PLACE,57
RAFFLES PLACE,700
RAFFLES PLACE,761
RAFFLES PLACE,971E
CHINA SQUARE,12
CHINA SQUARE,143
CHINA SQUARE,147
CHINA SQUARE,190
CHINA SQUARE,2
CHINA SQUARE,33
CHINA SQUARE,54
CHINA SQUARE,CT18
CHINA SQUARE,CT28
CHINA SQUARE,CT8
CHINA SQUARE,124
CHINA SQUARE,145
CHINA SQUARE,166
CHINA SQUARE,174
CHINA SQUARE,174e
CHINA SQUARE,197
CHINA SQUARE,61
CHINA SQUARE,63
CHINA SQUARE,80
TIONG BAHRU,121
TIONG BAHRU,122
TIONG BAHRU,123
TIONG BAHRU,16
TIONG BAHRU,175
TIONG BAHRU,195
TIONG BAHRU,33
TIONG BAHRU,5
TIONG BAHRU,63
TIONG BAHRU,75
TIONG BAHRU,851
TIONG BAHRU,970
TIONG BAHRU,NR5
TIONG BAHRU,123M
BAYFRONT SUBZONE,106
BAYFRONT SUBZONE,133
BAYFRONT SUBZONE,502
BAYFRONT SUBZONE,502A
BAYFRONT SUBZONE,518
BAYFRONT SUBZONE,518A
BAYFRONT SUBZONE,97
BAYFRONT SUBZONE,97e
BAYFRONT SUBZONE,NR1
BAYFRONT SUBZONE,NR6
TIONG BAHRU STATION,120
TIONG BAHRU STATION,121
TIONG BAHRU STATION,147
TIONG BAHRU STATION,167
TIONG BAHRU STATION,175
TIONG BAHRU STATION,196
TIONG BAHRU STATION,197
TIONG BAHRU STATION,961
TIONG BAHRU STATION,961C
TIONG BAHRU STATION,123
TIONG BAHRU STATION,123M
TIONG BAHRU STATION,14
TIONG BAHRU STATION,195
TIONG BAHRU STATION,5
TIONG BAHRU STATION,65
TIONG BAHRU STATION,122
TIONG BAHRU STATION,16
TIONG BAHRU STATION,33
TIONG BAHRU STATION,63
TIONG BAHRU STATION,851
TIONG BAHRU STATION,NR5
CLIFFORD PIER,10
CLIFFORD PIER,100
CLIFFORD PIER,107
CLIFFORD PIER,10e
CLIFFORD PIER,128
CLIFFORD PIER,130
CLIFFORD PIER,131
CLIFFORD PIER,162
CLIFFORD PIER,167
CLIFFORD PIER,196
CLIFFORD PIER,196e
CLIFFORD PIER,531
CLIFFORD PIER,533
CLIFFORD PIER,534
CLIFFORD PIER,535
CLIFFORD PIER,536
CLIFFORD PIER,538
CLIFFORD PIER,539
CLIFFORD PIER,544
CLIFFORD PIER,545
CLIFFORD PIER,549
CLIFFORD PIER,552
CLIFFORD PIER,553
CLIFFORD PIER,554
CLIFFORD PIER,555
CLIFFORD PIER,560
CLIFFORD PIER,561
CLIFFORD PIER,563
CLIFFORD PIER,564
CLIFFORD PIER,565
CLIFFORD PIER,569
CLIFFORD PIER,57
CLIFFORD PIER,546
CLIFFORD PIER,587
CLIFFORD PIER,590
CLIFFORD PIER,598
CLIFFORD PIER,70
CLIFFORD PIER,700
CLIFFORD PIER,75
CLIFFORD PIER,850E
CLIFFORD PIER,951E
CLIFFORD PIER,971E
MARINA EAST (MP),401
MARINA CENTRE,10
MARINA CENTRE,10e
MARINA CENTRE,128
MARINA CENTRE,162
MARINA CENTRE,196
MARINA CENTRE,196e
MARINA CENTRE,546
MARINA CENTRE,57
MARINA CENTRE,587
MARINA CENTRE,590
MARINA CENTRE,598
MARINA CENTRE,70
MARINA CENTRE,700
MARINA CENTRE,850E
MARINA CENTRE,951E
MARINA CENTRE,971E
MARINA CENTRE,14
MARINA CENTRE,14e
MARINA CENTRE,16
MARINA CENTRE,70M
MARINA CENTRE,106
MARINA CENTRE,111
MARINA CENTRE,133
MARINA CENTRE,162M
MARINA CENTRE,171
MARINA CENTRE,195
MARINA CENTRE,1N
MARINA CENTRE,2N
MARINA CENTRE,36
MARINA CENTRE,3N
MARINA CENTRE,4N
MARINA CENTRE,531
MARINA CENTRE,56
MARINA CENTRE,5N
MARINA CENTRE,6N
MARINA CENTRE,700A
MARINA CENTRE,75
MARINA CENTRE,77
MARINA CENTRE,857
MARINA CENTRE,960
MARINA CENTRE,961C
MARINA CENTRE,97
MARINA CENTRE,97e
MARINA CENTRE,NR1
MARINA CENTRE,NR2
MARINA CENTRE,NR5
MARINA CENTRE,NR6
MARINA CENTRE,NR7
MARINA CENTRE,NR8
MARINA CENTRE,502
MARINA CENTRE,502A
MARINA CENTRE,518
MARINA CENTRE,518A
MARINA CENTRE,868
MARINA CENTRE,107M
BRAS BASAH,106
BRAS BASAH,111
BRAS BASAH,124
BRAS BASAH,128
BRAS BASAH,131
BRAS BASAH,14
BRAS BASAH,147
BRAS BASAH,14e
BRAS BASAH,16
BRAS BASAH,162
BRAS BASAH,162M
BRAS BASAH,166
BRAS BASAH,167
BRAS BASAH,171
BRAS BASAH,174
BRAS BASAH,174e
BRAS BASAH,175
BRAS BASAH,190
BRAS BASAH,36
BRAS BASAH,7
BRAS BASAH,700
BRAS BASAH,700A
BRAS BASAH,77
BRAS BASAH,850E
BRAS BASAH,857
BRAS BASAH,951E
BRAS BASAH,971E
BRAS BASAH,139
BRAS BASAH,64
BRAS BASAH,65
BRAS BASAH,972
BRAS BASAH,502
BRAS BASAH,502A
BRAS BASAH,518
BRAS BASAH,518A
BRAS BASAH,587
BRAS BASAH,590
BRAS BASAH,598
BRAS BASAH,NR7
BRAS BASAH,12
BRAS BASAH,197
BRAS BASAH,2
BRAS BASAH,32
BRAS BASAH,33
BRAS BASAH,51
BRAS BASAH,61
BRAS BASAH,63
BRAS BASAH,80
BRAS BASAH,130
BRAS BASAH,133
BRAS BASAH,145
BRAS BASAH,851
BRAS BASAH,960
OXLEY,139
OXLEY,195
OXLEY,32
OXLEY,530
OXLEY,54
CITY HALL,10
CITY HALL,100
CITY HALL,107
CITY HALL,10e
CITY HALL,128
CITY HALL,130
CITY HALL,131
CITY HALL,162
CITY HALL,167
CITY HALL,196
CITY HALL,196e
CITY HALL,531
CITY HALL,57
CITY HALL,70
CITY HALL,700
CITY HALL,75
CITY HALL,850E
CITY HALL,868
CITY HALL,951E
CITY HALL,971E
CITY HALL,14
CITY HALL,14e
CITY HALL,16
CITY HALL,70M
CITY HALL,107M
CITY HALL,56
CITY HALL,961
CITY HALL,961C
CITY HALL,980
CITY HALL,106
CITY HALL,111
CITY HALL,133
CITY HALL,162M
CITY HALL,171
CITY HALL,36
CITY HALL,502
CITY HALL,502A
CITY HALL,518
CITY HALL,518A
CITY HALL,700A
CITY HALL,77
CITY HALL,857
CITY HALL,960
CITY HALL,175
CITY HALL,7
CITY HALL,12
CITY HALL,147
CITY HALL,190
CITY HALL,2
CITY HALL,33
CITY HALL,124
CITY HALL,145
CITY HALL,166
CITY HALL,174
CITY HALL,174e
CITY HALL,197
CITY HALL,1N
CITY HALL,2N
CITY HALL,3N
CITY HALL,4N
CITY HALL,51
CITY HALL,5N
CITY HALL,61
CITY HALL,63
CITY HALL,6N
CITY HALL,80
CITY HALL,851
CITY HALL,NR1
CITY HALL,NR2
CITY HALL,NR5
CITY HALL,NR6
CITY HALL,NR7
CITY HALL,NR8
CITY HALL,195
CITY HALL,32
MEI CHIN,100
MEI CHIN,123
MEI CHIN,147
MEI CHIN,153
MEI CHIN,196
MEI CHIN,198
MEI CHIN,51
MEI CHIN,61
MEI CHIN,64
MEI CHIN,855
MEI CHIN,93
MEI CHIN,961
MEI CHIN,961C
MEI CHIN,111
MEI CHIN,145
MEI CHIN,186
MEI CHIN,195
MEI CHIN,970
MEI CHIN,NR5
MEI CHIN,120
MEI CHIN,33
EAST COAST,401
NATIONAL UNIVERSITY OF S'PORE,10
NATIONAL UNIVERSITY OF S'PORE,151
NATIONAL UNIVERSITY OF S'PORE,151e
NATIONAL UNIVERSITY OF S'PORE,200
NATIONAL UNIVERSITY OF S'PORE,201
NATIONAL UNIVERSITY OF S'PORE,33
NATIONAL UNIVERSITY OF S'PORE,95
NATIONAL UNIVERSITY OF S'PORE,96
NATIONAL UNIVERSITY OF S'PORE,183
NATIONAL UNIVERSITY OF S'PORE,188
NATIONAL UNIVERSITY OF S'PORE,188E
NATIONAL UNIVERSITY OF S'PORE,197
NATIONAL UNIVERSITY OF S'PORE,198
NATIONAL UNIVERSITY OF S'PORE,502
NATIONAL UNIVERSITY OF S'PORE,963
NATIONAL UNIVERSITY OF S'PORE,963E
NATIONAL UNIVERSITY OF S'PORE,97
NATIONAL UNIVERSITY OF S'PORE,CT28
NATIONAL UNIVERSITY OF S'PORE,92
ONE TREE HILL,105
ONE TREE HILL,106
ONE TREE HILL,111
ONE TREE HILL,123
ONE TREE HILL,132
ONE TREE HILL,174
ONE TREE HILL,174e
ONE TREE HILL,36
ONE TREE HILL,7
ONE TREE HILL,77
ONE TREE HILL,NR8
ONE TREE HILL,14
ONE TREE HILL,16
ONE TREE HILL,175
ONE TREE HILL,1N
ONE TREE HILL,2N
ONE TREE HILL,3N
ONE TREE HILL,4N
ONE TREE HILL,5
ONE TREE HILL,54
ONE TREE HILL,5N
ONE TREE HILL,65
ONE TREE HILL,6N
